state,district,police,fire,ambulance,tourist_helpline,women_helpline,childline,disaster_mgmt,road_accident,rail_accident
Andhra Pradesh,Kadapa,100,101,102,1363,1091,1098,108,1073,1072
Uttar Pradesh,Lucknow,100,101,102,1363,1091,1098,108,1073,1072
Uttar Pradesh,Varanasi,100,101,102,1363,1091,1098,108,1073,1072
Uttar Pradesh,Agra,100,101,102,1363,1091,1098,108,1073,1072
Uttar Pradesh,Kanpur,100,101,102,1363,1091,1098,108,1073,1072
Uttar Pradesh,Noida,100,101,102,1363,1091,1098,108,1073,1072
Uttar Pradesh,Ghaziabad,100,101,102,1363,1091,1098,108,1073,1072
Uttar Pradesh,Allahabad,100,101,102,1363,1091,1098,108,1073,1072
Uttar Pradesh,Aligarh,100,101,102,1363,1091,1098,108,1073,1072
Uttar Pradesh,Meerut,100,101,102,1363,1091,1098,108,1073,1072
Uttar Pradesh,Bareilly,100,101,102,1363,1091,1098,108,1073,1072
Jammu and Kashmir,Srinagar,100,101,102,1363,1091,1098,108,1073,1072
Jammu and Kashmir,Jammu,100,101,102,1363,1091,1098,108,1073,1072
Jammu and Kashmir,Leh,100,101,102,1363,1091,1098,108,1073,1072
Jammu and Kashmir,Kupwara,100,101,102,1363,1091,1098,108,1073,1072
Jammu and Kashmir,Baramulla,100,101,102,1363,1091,1098,108,1073,1072
Jammu and Kashmir,Poonch,100,101,102,1363,1091,1098,108,1073,1072
Jammu and Kashmir,Pulwama,100,101,102,1363,1091,1098,108,1073,1072
Jammu and Kashmir,Anantnag,100,101,102,1363,1091,1098,108,1073,1072
Jammu and Kashmir,Doda,100,101,102,1363,1091,1098,108,1073,1072
Jammu and Kashmir,Kathua,100,101,102,1363,1091,1098,108,1073,1072
Meghalaya,Shillong,100,101,102,1363,1091,1098,108,1073,1072
Meghalaya,Cherrapunji,100,101,102,1363,1091,1098,108,1073,1072
Meghalaya,Tura,100,101,102,1363,1091,1098,108,1073,1072
Meghalaya,Jowai,100,101,102,1363,1091,1098,108,1073,1072
Meghalaya,Nongpoh,100,101,102,1363,1091,1098,108,1073,1072
Meghalaya,Williamnagar,100,101,102,1363,1091,1098,108,1073,1072
Meghalaya,Baghmara,100,101,102,1363,1091,1098,108,1073,1072
Meghalaya,Resubelpara,100,101,102,1363,1091,1098,108,1073,1072
Meghalaya,Mairang,100,101,102,1363,1091,1098,108,1073,1072
Meghalaya,Ampati,100,101,102,1363,1091,1098,108,1073,1072
Nagaland,Kohima,100,101,102,1363,1091,1098,108,1073,1072
Nagaland,Dimapur,100,101,102,1363,1091,1098,108,1073,1072
Nagaland,Mokokchung,100,101,102,1363,1091,1098,108,1073,1072
Nagaland,Zunheboto,100,101,102,1363,1091,1098,108,1073,1072
